voteId,title,url,date,time,turnout,govWins,jacqui_lambie,glenn_lazarus,david_leyonhjelm,john_madigan,ricky_muir,nick_xenophon,dio_wang,bob_day
4096,Motions — Alcohol-Fuelled Violence,https://theyvoteforyou.org.au/divisions/senate/2016-02-24/2,2016-02-24,4:20 PM,67.5,gov_wins,absent,government,greens,greens,greens,absent,greens,absent
4097,Committees — Education and Employment References Committee; Reference,https://theyvoteforyou.org.au/divisions/senate/2016-02-24/3,2016-02-24,4:23 PM,74.0,gov_wins,greens,greens,greens,greens,greens,greens,greens,greens
4098,Committees — Establishment of a National Integrity Commission; Appointment,https://theyvoteforyou.org.au/divisions/senate/2016-02-24/4,2016-02-24,4:28 PM,83.1,gov_loses,labor,labor,labor,labor,labor,labor,labor,labor
4099,Documents — Government Departments: Outsourcing to Foreign Businesses; Order for the Production of Documents,https://theyvoteforyou.org.au/divisions/senate/2016-02-24/5,2016-02-24,4:37 PM,81.8,gov_loses,labor,labor,government,labor,labor,labor,government,absent
4101,Bills — Migration Amendment (Protecting Babies Born in Australia) Bill 2014; Second Reading,https://theyvoteforyou.org.au/divisions/senate/2016-02-25/1,2016-02-25,10:34 AM,54.5,gov_wins,greens,greens,absent,greens,absent,absent,greens,absent
4102,Bills — Veterans' Entitlements Amendment (Expanded Gold Card Access) Bill 2015; Second Reading,https://theyvoteforyou.org.au/divisions/senate/2016-02-25/2,2016-02-25,11:49 AM,67.5,gov_wins,greens,greens,absent,greens,greens,greens,greens,greens
4103,Committees — Selection of Bills Committee; Report,https://theyvoteforyou.org.au/divisions/senate/2016-02-25/3,2016-02-25,12:37 PM,84.4,gov_loses,labor,labor,labor,labor,labor,government,labor,labor
4104,Committees — Selection of Bills Committee; Report,https://theyvoteforyou.org.au/divisions/senate/2016-02-25/4,2016-02-25,12:46 PM,85.7,gov_wins,labor,labor,labor,labor,labor,government,labor,labor
4105,"Committees — Foreign Affairs, Defence and Trade References Committee; Reference",https://theyvoteforyou.org.au/divisions/senate/2016-02-29/1,2016-02-29,3:47 PM,79.2,gov_loses,labor,labor,government,labor,labor,labor,labor,absent
4106,Motions — Taxation,https://theyvoteforyou.org.au/divisions/senate/2016-02-29/2,2016-02-29,4:01 PM,76.6,gov_loses,labor,labor,labor,labor,absent,absent,government,absent
4107,Documents — Infrastructure Investment Program; Order for the Production of Documents,https://theyvoteforyou.org.au/divisions/senate/2016-02-29/3,2016-02-29,4:11 PM,81.8,gov_loses,labor,labor,labor,labor,labor,labor,labor,absent
4108,Motions — North Stradbroke Island,https://theyvoteforyou.org.au/divisions/senate/2016-03-01/1,2016-03-01,3:54 PM,77.9,gov_loses,labor,labor,absent,government,absent,absent,government,absent
