division,xenophon,lazaraus,agreement,,,Total agreements,Total both present,Agreement %
3305,aye,aye,1,,,225,326,0.690184049
3312,aye,aye,1,,,,,
3337,aye,aye,1,,,,,
3333,aye,aye,1,,,,,
3331,aye,aye,1,,,,,
3328,aye,aye,1,,,,,
3327,aye,aye,1,,,,,
3344,aye,aye,1,,,,,
3342,aye,aye,1,,,,,
3383,aye,aye,1,,,,,
3389,aye,aye,1,,,,,
3407,aye,aye,1,,,,,
3406,aye,aye,1,,,,,
3405,aye,aye,1,,,,,
3420,aye,aye,1,,,,,
3547,aye,aye,1,,,,,
3430,aye,aye,1,,,,,
3431,aye,aye,1,,,,,
3450,aye,aye,1,,,,,
3458,aye,aye,1,,,,,
3457,aye,aye,1,,,,,
3463,aye,aye,1,,,,,
3462,aye,aye,1,,,,,
3573,aye,aye,1,,,,,
3569,aye,aye,1,,,,,
3581,aye,aye,1,,,,,
3580,aye,aye,1,,,,,
3577,aye,aye,1,,,,,
3576,aye,aye,1,,,,,
3575,aye,aye,1,,,,,
3574,aye,aye,1,,,,,
3587,aye,aye,1,,,,,
3586,aye,aye,1,,,,,
3585,aye,aye,1,,,,,
3584,aye,aye,1,,,,,
3604,aye,aye,1,,,,,
3603,aye,aye,1,,,,,
3602,aye,aye,1,,,,,
3636,aye,aye,1,,,,,
3631,aye,aye,1,,,,,
3646,aye,aye,1,,,,,
3645,aye,aye,1,,,,,
3665,aye,aye,1,,,,,
3664,aye,aye,1,,,,,
3663,aye,aye,1,,,,,
3662,aye,aye,1,,,,,
3658,aye,aye,1,,,,,
3656,aye,aye,1,,,,,
3655,aye,aye,1,,,,,
3654,aye,aye,1,,,,,
3652,aye,aye,1,,,,,
3651,aye,aye,1,,,,,
3650,aye,aye,1,,,,,
3649,aye,aye,1,,,,,
3669,aye,aye,1,,,,,
3680,aye,aye,1,,,,,
3679,aye,aye,1,,,,,
3682,aye,aye,1,,,,,
3687,aye,aye,1,,,,,
3685,aye,aye,1,,,,,
3701,aye,aye,1,,,,,
3698,aye,aye,1,,,,,
3703,aye,aye,1,,,,,
3711,aye,aye,1,,,,,
